Date,Open,High,Low,Close,Adj Close,Volume
2010-07-05,11195.299805,11570.500000,11093.900391,11570.500000,11570.500000,91601650000
2010-07-12,11567.400391,11741.799805,11497.299805,11569.700195,11569.700195,89072670000
2010-07-19,11542.200195,11722.599609,11446.000000,11714.200195,11714.200195,84158830000
2010-07-26,11742.400391,11822.700195,11603.799805,11713.400391,11713.400391,85914830000
2010-08-02,11829.299805,11872.900391,11700.099609,11800.000000,11800.000000,83373570000
2010-08-09,11846.700195,11878.400391,11480.500000,11528.299805,11528.299805,90844560000
2010-08-16,11527.700195,11806.500000,11493.599609,11722.099609,11722.099609,88089910000
2010-08-23,11751.500000,11887.799805,11469.299805,11879.700195,11879.700195,92760250000
2010-08-30,11873.099609,12197.900391,11845.200195,12144.900391,12144.900391,101921630000
2010-09-06,12148.099609,12160.700195,11997.700195,12097.099609,12097.099609,73736410000
2010-09-13,12147.400391,12262.299805,12081.599609,12164.599609,12164.599609,121895430000
2010-09-20,12190.500000,12281.400391,12055.599609,12204.900391,12204.900391,101753860000
2010-09-27,12211.099609,12446.900391,12123.799805,12363.099609,12363.099609,108176190000
2010-10-04,12368.000000,12541.000000,12262.700195,12535.599609,12535.599609,102370670000
2010-10-11,12530.000000,12710.200195,12479.599609,12609.099609,12609.099609,84861190000
2010-10-18,12596.200195,12674.099609,12518.500000,12601.200195,12601.200195,92584570000
2010-10-25,12671.299805,12694.500000,12504.799805,12676.200195,12676.200195,94119240000
2010-11-01,12725.900391,13001.200195,12569.400391,12925.099609,12925.099609,112500700000
2010-11-08,12940.299805,13114.099609,12661.900391,12749.200195,12749.200195,123401910000
2010-11-15,12757.500000,12967.500000,12501.799805,12956.299805,12956.299805,98175390000
2010-11-22,12931.799805,12964.000000,12780.900391,12892.700195,12892.700195,78868070000
2010-11-29,12888.099609,13196.500000,12783.400391,13179.000000,13179.000000,136192100000
2010-12-06,13207.200195,13368.799805,13132.400391,13239.500000,13239.500000,108696220000
2010-12-13,13290.299805,13360.099609,13094.099609,13201.500000,13201.500000,130397940000
2010-12-20,13231.500000,13397.299805,13193.299805,13383.200195,13383.200195,60319310000
2010-12-27,13413.200195,13493.599609,13383.000000,13443.200195,13443.200195,28510720000
2011-01-03,13530.400391,13530.400391,13233.299805,13272.299805,13272.299805,86488800000
2011-01-10,13291.599609,13505.400391,13139.500000,13464.099609,13464.099609,122324130000
2011-01-17,13427.099609,13572.299805,13238.900391,13258.599609,13258.599609,117472580000
2011-01-24,13313.700195,13497.599609,13192.700195,13437.599609,13437.599609,114201280000
2011-01-31,13449.700195,13863.099609,13438.400391,13791.900391,13791.900391,117801090000
2011-02-07,13854.099609,13909.799805,13692.799805,13766.799805,13766.799805,107965920000
2011-02-14,13835.099609,14156.400391,13776.599609,14123.099609,14123.099609,108454450000
2011-02-21,14155.599609,14160.700195,13810.500000,14052.099609,14052.099609,100534590000
2011-02-28,14083.000000,14280.599609,14053.099609,14252.799805,14252.799805,118716500000
2011-03-07,14303.299805,14329.500000,13477.400391,13674.299805,13674.299805,109732450000
2011-03-14,13545.000000,13875.700195,13237.900391,13789.599609,13789.599609,148011440000
2011-03-21,13919.000000,14130.400391,13812.299805,14039.400391,14039.400391,96845780000
2011-03-28,14003.599609,14181.500000,13843.400391,14130.200195,14130.200195,108691780000
2011-04-04,14212.700195,14315.400391,14096.900391,14208.400391,14208.400391,109392940000
2011-04-11,14187.799805,14208.000000,13720.099609,13799.099609,13799.099609,100668880000
2011-04-18,13738.799805,13977.500000,13584.599609,13972.000000,13972.000000,68160030000
2011-04-25,13983.299805,13997.900391,13770.799805,13944.799805,13944.799805,100204720000
2011-05-02,13944.799805,14089.099609,13416.000000,13566.599609,13566.599609,69921070000
2011-05-09,13628.299805,13703.000000,13264.799805,13377.200195,13377.200195,100759840000
2011-05-16,13360.599609,13682.900391,13338.000000,13652.299805,13652.299805,103240930000
2011-05-23,13631.700195,13856.500000,13578.200195,13797.599609,13797.599609,85608210000
2011-05-30,13810.599609,13901.599609,13365.400391,13517.900391,13517.900391,87012010000
2011-06-06,13517.500000,13538.099609,13008.799805,13084.000000,13084.000000,94827040000
2011-06-13,13050.200195,13122.400391,12790.000000,12790.000000,12790.000000,115713220000
2011-06-20,12789.000000,13160.900391,12763.500000,12908.900391,12908.900391,105613770000
2011-06-27,12886.000000,13301.700195,12858.400391,13300.900391,13300.900391,73222560000
2011-07-04,13315.400391,13474.900391,13297.700195,13371.700195,13371.700195,76854290000
2011-07-11,13339.500000,13428.500000,13101.900391,13299.500000,13299.500000,88419580000
2011-07-18,13291.400391,13516.200195,13210.099609,13494.599609,13494.599609,97384060000
2011-07-25,13451.500000,13486.299805,12858.400391,12945.599609,12945.599609,90233370000
2011-08-01,13010.599609,13010.599609,11894.700195,12162.200195,12162.200195,116412650000
2011-08-08,11747.000000,12638.299805,11617.799805,12542.200195,12542.200195,164110250000
2011-08-15,12626.900391,12715.000000,11988.599609,12007.500000,12007.500000,108550520000
2011-08-22,12235.900391,12410.000000,12025.900391,12327.500000,12327.500000,101315620000
2011-08-29,12433.500000,12798.500000,12340.500000,12602.400391,12602.400391,107444200000
2011-09-05,12406.099609,12745.099609,12355.900391,12387.500000,12387.500000,78968680000
2011-09-12,12214.000000,12466.799805,12041.599609,12263.700195,12263.700195,134143090000
2011-09-19,12187.099609,12356.799805,11355.799805,11462.900391,11462.900391,128506060000
2011-09-26,11487.099609,12058.000000,11293.599609,11623.799805,11623.799805,128407290000
2011-10-03,11516.900391,11819.599609,10848.200195,11588.400391,11588.400391,126030660000
2011-10-10,11846.400391,12094.700195,11596.900391,12081.700195,12081.700195,100901380000
2011-10-17,12067.700195,12084.099609,11697.500000,11949.500000,11949.500000,94738940000
2011-10-24,12005.700195,12541.799805,11957.000000,12519.500000,12519.500000,132482920000
2011-10-31,12416.900391,12510.799805,11913.700195,12408.299805,12408.299805,124564550000
2011-11-07,12416.200195,12542.599609,12025.599609,12276.900391,12276.900391,98492890000
